,Dia,Estado,Municipio,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
989184,2023-09-16,PARÁ,CUMARU DO NORTE,8.0,1.94,1.0,-8.8702,-51.7192,103.4
1766441,2023-10-29,MARANHÃO,BOM JARDIM,13.0,0.0,1.0,-4.3276,-46.802,58.8
1982976,2023-11-12,AMAPÁ,PRACUÚBA,9.0,0.0,1.0,1.68011,-50.76388,12.5
2298306,2023-11-23,MARANHÃO,TURILÂNDIA,14.0,0.2,1.0,-2.13677,-45.51129,3.2
493991,2023-10-14,PARÁ,MOJU,2.0,0.0,1.0,-2.9447,-49.0249,82.3
924606,2023-09-14,PARÁ,SANTANA DO ARAGUAIA,7.0,0.0,1.0,-9.08371,-50.71904,5.6
183314,2023-07-20,MATO GROSSO,JUARA,37.0,0.0,1.0,-10.61615,-57.83356,6.6
1494833,2023-08-21,PARÁ,ALTAMIRA,7.0,0.0,1.0,-8.5968,-54.7957,224.4
1881955,2023-11-05,AMAPÁ,AMAPÁ,10.0,0.0,1.0,1.8497,-50.83869,10.7
1206592,2023-09-28,PARÁ,DOM ELISEU,5.0,1.18,1.0,-4.2589,-48.109299,0
186310,2023-07-21,MATO GROSSO,PORTO ALEGRE DO NORTE,49.0,0.0,1.0,-10.6518,-52.0617,63.6
1241296,2023-08-01,PARÁ,CONCEIÇÃO DO ARAGUAIA,63.0,0.0,1.0,-8.1608,-49.7729,100.2
1203741,2023-09-28,AMAPÁ,CALÇOENE,7.0,0.0,1.0,2.19546,-50.89532,6.7
356113,2023-10-08,PARÁ,CURRALINHO,3.0,0.2,1.0,-1.6683,-49.8398,69.2
1821657,2023-11-02,AMAPÁ,AMAPÁ,13.0,0.6,1.0,2.053,-50.8594,76.3
2266908,2023-12-24,MARANHÃO,SÃO JOÃO BATISTA,3.0,0.0,1.0,-2.93233,-44.84277,6.1
1286173,2023-08-08,MATO GROSSO,PORTO DOS GAÚCHOS,64.0,0.0,1.0,-11.8805,-56.6362,70.2
1631484,2023-08-27,PARÁ,DOM ELISEU,53.0,0.0,1.0,-4.0361,-48.07926,7.2
679879,2023-08-31,MATO GROSSO,VILA BELA DA SANTÍSSIMA TRINDADE,5.0,1.23,1.0,-14.8119,-60.0888,62.5
1885008,2023-10-26,PARÁ,PARAGOMINAS,18.0,0.0,1.0,-3.0964,-47.01887,54.0
1448542,2023-08-20,MATO GROSSO,NOVA MARINGÁ,36.0,0.0,1.0,-11.99924,-57.20811,3.4
1090402,2023-09-23,PARÁ,CONCEIÇÃO DO ARAGUAIA,20.0,0.0,1.0,-8.02834,-49.65387,55.8
220764,2023-08-20,MATO GROSSO,APIACÁS,6.0,0.0,1.0,-9.6804,-57.449299,0
1236065,2023-09-30,PARÁ,PACAJÁ,19.0,0.0,1.0,-3.3262,-50.148602,0
1897610,2023-10-26,PARÁ,ALENQUER,2.0,0.0,1.0,-1.92329,-54.54578,170.8
2274782,2023-12-30,RORAIMA,NORMANDIA,3.0,0.0,1.0,3.934,-60.0457,64.5
946387,2023-09-15,AMAPÁ,TARTARUGALZINHO,8.0,0.0,1.0,1.39,-50.7662,53.2
778736,2023-09-08,PARÁ,ÓBIDOS,22.0,0.0,1.0,1.72856,-55.73112,1.9
1917830,2023-10-31,PARÁ,ALMEIRIM,7.0,0.0,1.0,-1.57337,-53.08566,8.4
924584,2023-09-14,PARÁ,CUMARU DO NORTE,11.0,0.0,1.0,-7.85695,-50.87229,5.6
1758213,2023-10-29,MARANHÃO,ITINGA DO MARANHÃO,34.0,0.0,1.0,-3.95918,-47.07994,91.6
2292420,2023-11-28,MATO GROSSO,PORTO DOS GAÚCHOS,2.0,0.0,1.0,-11.8583,-56.9185,62.6
1334129,2023-08-13,MATO GROSSO,PARANATINGA,69.0,0.0,1.0,-13.33422,-54.29062,26.1
994566,2023-09-16,PARÁ,SAPUCAIA,9.0,0.0,1.0,-6.98927,-49.4528,4.0
2031560,2023-11-14,PARÁ,PACAJÁ,7.0,0.0,1.0,-3.87554,-50.18703,1.3
1300485,2023-08-09,PARÁ,ALTAMIRA,27.0,0.0,1.0,-8.428,-54.9077,81.2
2207032,2023-12-02,RORAIMA,PACARAIMA,18.0,0.0,1.0,3.767,-60.8477,77.2
408871,2023-10-10,PARÁ,ACARÁ,2.0,0.0,1.0,-2.45633,-48.80468,1.1
1010061,2023-09-17,PARÁ,NOVO REPARTIMENTO,7.0,0.0,1.0,-4.2682,-50.646,78.0
1208604,2023-09-29,MARANHÃO,CIDELÂNDIA,26.0,0.0,1.0,-5.04658,-47.89669,1.8
2132005,2023-11-18,RORAIMA,CARACARAÍ,4.0,0.0,1.0,1.32682,-60.82067,5.6
1372191,2023-08-16,PARÁ,CURIONÓPOLIS,10.0,0.0,1.0,-5.92025,-49.77872,3.4
2308055,2023-11-02,PARÁ,MOJU,10.0,0.53,1.0,-2.759,-49.2647,100.9
783860,2023-09-08,AMAPÁ,MAZAGÃO,2.0,0.0,1.0,-0.3401,-51.7688,99.7
153133,2023-07-05,ACRE,RIO BRANCO,22.0,0.0,1.0,-10.04314,-67.77775,4.3
1294687,2023-08-09,PARÁ,PAU D'ARCO,72.0,0.0,1.0,-7.8221,-49.9705,48.1
2237267,2023-12-13,MARANHÃO,BOM JARDIM,1.0,0.97,1.0,-4.03252,-46.49475,2.0
1242457,2023-08-02,PARÁ,REDENÇÃO,64.0,0.0,1.0,-8.10044,-50.13012,1.9
2109086,2023-11-17,PARÁ,ALMEIRIM,16.0,0.0,1.0,-1.14195,-52.58247,11.8
2287298,2023-11-30,PARÁ,VISEU,41.0,0.0,1.0,-1.33616,-46.29578,2.1
1002047,2023-08-28,MATO GROSSO,NOVA MARINGÁ,13.0,0.0,1.0,-12.9966,-56.8798,83.5
1015215,2023-09-17,PARÁ,MUANÁ,2.0,0.0,1.0,-1.36156,-49.32272,6.5
1781388,2023-10-30,MARANHÃO,GOVERNADOR NUNES FREIRE,25.0,0.0,1.0,-2.21064,-45.70128,15.7
732315,2023-09-06,PARÁ,ULIANÓPOLIS,52.0,0.0,1.0,-3.90393,-47.3358,1.5
226155,2023-10-01,MARANHÃO,SANTA LUZIA,9.0,0.0,1.0,-4.22547,-45.93788,5.5
1058338,2023-09-20,MARANHÃO,IGARAPÉ DO MEIO,9.0,0.0,1.0,-3.59796,-45.12152,12.4
1383762,2023-08-17,MATO GROSSO,SANTA CRUZ DO XINGU,14.0,0.0,1.0,-10.1227,-52.1741,235.6
2106434,2023-11-17,MARANHÃO,BOM JESUS DAS SELVAS,2.0,0.0,1.0,-4.69612,-46.83665,69.9
2060125,2023-11-15,AMAPÁ,TARTARUGALZINHO,26.0,0.0,1.0,1.24465,-50.4908,1.4
506946,2023-10-16,PARÁ,SANTARÉM,23.0,0.0,1.0,-2.58103,-54.62355,2.5
22086,2023-03-14,RORAIMA,NORMANDIA,1.0,1.29,1.0,4.07364,-60.01555,4.4
889076,2023-09-12,PARÁ,CONCEIÇÃO DO ARAGUAIA,10.0,0.0,1.0,-7.9372,-49.6844,71.9
1107932,2023-09-23,PARÁ,ABEL FIGUEIREDO,20.0,0.0,1.0,-4.9263,-48.2831,0
1409779,2023-08-18,PARÁ,ALTAMIRA,9.0,0.0,1.0,-6.2866,-53.3147,51.0
1560110,2023-08-23,PARÁ,ALTAMIRA,13.0,0.31,1.0,-8.06658,-54.83083,19.7
808136,2023-09-09,PARÁ,RONDON DO PARÁ,57.0,0.0,1.0,-4.45297,-48.14897,3.3
562358,2023-10-20,MATO GROSSO,MARCELÂNDIA,4.0,0.0,1.0,-10.946,-54.2201,0
2124604,2023-11-18,RONDÔNIA,ALTA FLORESTA D'OESTE,8.0,0.0,1.0,-12.9746,-62.5831,69.2
180919,2023-07-20,MATO GROSSO,BRASNORTE,36.0,0.0,1.0,-12.512,-57.7028,107.4
101327,2023-06-19,MATO GROSSO,PONTES E LACERDA,3.0,0.0,1.0,-15.70103,-59.625,4.5
2132576,2023-11-18,RONDÔNIA,CEREJEIRAS,2.0,0.0,1.0,-13.09355,-61.36121,7.1
1373318,2023-08-16,PARÁ,SÃO FÉLIX DO XINGU,6.0,0.0,1.0,-6.26866,-52.89763,4.7
1284428,2023-08-08,PARÁ,SÃO FÉLIX DO XINGU,3.0,0.0,1.0,-6.2943,-52.2491,65.5
1197346,2023-09-28,PARÁ,TAILÂNDIA,27.0,0.0,1.0,-3.01467,-48.8106,10.1
520165,2023-10-17,PARÁ,ÓBIDOS,2.0,1.4,1.0,1.7672,-55.5068,72.2
623335,2023-09-03,PARÁ,MOJU,24.0,0.0,1.0,-2.7959,-49.2849,53.6
1337410,2023-08-14,PARÁ,ALTAMIRA,4.0,0.0,1.0,-8.5232,-54.6796,97.8
17294,2023-02-18,RORAIMA,RORAINÓPOLIS,8.0,0.0,1.0,0.94618,-60.45599,3.5
1974345,2023-11-11,MARANHÃO,ARAGUANÃ,2.0,0.0,1.0,-3.0516,-45.6806,143.5
1445219,2023-08-20,PARÁ,ULIANÓPOLIS,62.0,0.0,1.0,-3.8396,-47.7002,77.8
1661154,2023-10-25,MARANHÃO,GOVERNADOR NEWTON BELLO,0.0,0.0,1.0,-3.476,-46.2657,63.7
1213097,2023-09-29,PARÁ,DOM ELISEU,10.0,0.0,1.0,-4.16329,-48.21419,2.6
31337,2023-03-25,RORAIMA,NORMANDIA,12.0,0.0,1.0,3.98327,-60.43617,15.8
1795437,2023-10-31,MARANHÃO,ALTO ALEGRE DO PINDARÉ,14.0,0.0,1.0,-3.92,-45.97,0
508719,2023-10-16,PARÁ,SENADOR JOSÉ PORFÍRIO,4.0,0.3,1.0,-2.84822,-51.90046,12.5
1991385,2023-11-08,MARANHÃO,TURIAÇU,0.0,0.0,1.0,-1.88132,-45.5621,12.5
900865,2023-09-13,MARANHÃO,ARAME,118.0,0.0,1.0,-5.35524,-46.3069,4.2
251233,2023-10-02,PARÁ,TAILÂNDIA,23.0,0.39,1.0,-2.9644,-48.7251,205.0
1643242,2023-07-26,MARANHÃO,SANTA LUZIA,42.0,0.0,1.0,-4.0175,-45.8183,62.5
1998064,2023-11-13,PARÁ,IPIXUNA DO PARÁ,7.0,0.0,1.0,-2.5062,-47.5514,50.0
1298445,2023-08-09,PARÁ,ITAITUBA,0.0,0.0,1.0,-6.17832,-55.63244,5.8
435203,2023-10-11,AMAPÁ,PRACUÚBA,20.0,0.0,1.0,1.55086,-50.60997,11.2
469091,2023-10-13,PARÁ,OEIRAS DO PARÁ,8.0,0.0,1.0,-2.25454,-49.80264,59.4
239704,2023-10-02,RORAIMA,CANTÁ,4.0,0.0,1.0,2.6714,-60.6581,66.2
1894175,2023-10-26,PARÁ,ULIANÓPOLIS,5.0,0.0,1.0,-3.76363,-47.59949,10.7
2169484,2023-11-20,PARÁ,PRAINHA,13.0,0.0,1.0,-1.2751,-53.6762,48.7
484914,2023-10-14,PARÁ,PONTA DE PEDRAS,11.0,0.0,1.0,-1.2824,-49.0615,77.2
799622,2023-08-30,MATO GROSSO,NOVA MARINGÁ,14.0,0.76,1.0,-13.1265,-57.1494,104.9
1318714,2023-08-12,MARANHÃO,SANTA LUZIA,62.0,0.0,1.0,-4.4952,-45.89319,27.3
540649,2023-10-19,MARANHÃO,GOVERNADOR NEWTON BELLO,10.0,0.0,1.0,-3.42679,-45.9763,14.3
617003,2023-09-02,PARÁ,ITAITUBA,2.0,0.0,1.0,-4.36893,-56.24535,5.5
1950325,2023-11-10,MARANHÃO,SANTA LUZIA,5.0,0.0,1.0,-4.3861,-45.892601,0
2075910,2023-11-15,PARÁ,PARAGOMINAS,11.0,0.0,1.0,-2.6753,-46.9125,95.1
545712,2023-10-19,MARANHÃO,ARAGUANÃ,0.0,0.0,1.0,-3.1067,-45.8127,80.3
1540238,2023-08-22,MATO GROSSO,NOVA MARINGÁ,8.0,0.0,1.0,-12.6153,-56.9742,58.0
2281081,2023-12-09,PARÁ,NOVO REPARTIMENTO,0.0,1.13,1.0,-4.2333,-50.2488,76.4
2121738,2023-11-18,PARÁ,PACAJÁ,11.0,0.0,1.0,-3.75436,-50.52207,0.6
562172,2023-10-20,MARANHÃO,BOM JARDIM,117.0,0.0,1.0,-4.0454,-46.800598,0
1312147,2023-08-11,MATO GROSSO,NOVA MARINGÁ,56.0,0.0,1.0,-13.13894,-57.17242,1.0
192881,2023-07-22,PARÁ,GOIANÉSIA DO PARÁ,27.0,0.0,1.0,-3.7772,-49.0171,158.7
561219,2023-10-20,PARÁ,ALTAMIRA,5.0,0.0,1.0,-8.3159,-54.9553,52.0
441806,2023-10-11,AMAPÁ,TARTARUGALZINHO,19.0,0.0,1.0,1.07967,-51.17537,8.6
1291465,2023-08-09,PARÁ,CONCEIÇÃO DO ARAGUAIA,80.0,0.0,1.0,-8.0111,-49.67366,70.6
2353734,2023-07-27,RONDÔNIA,OURO PRETO DO OESTE,43.0,0.0,1.0,-10.1603,-61.9333,67.7
1629072,2023-08-26,MATO GROSSO,GAÚCHA DO NORTE,62.0,0.0,1.0,-12.5338,-53.0586,76.4
663090,2023-09-04,MATO GROSSO,DENISE,8.0,0.0,1.0,-14.62184,-56.95081,47.1
1402540,2023-08-18,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,66.0,0.0,1.0,-11.28029,-52.81693,3.6
1006048,2023-09-16,PARÁ,PACAJÁ,12.0,0.0,1.0,-4.0564,-50.978802,0
2297414,2023-11-23,AMAPÁ,TARTARUGALZINHO,35.0,0.0,1.0,1.28849,-50.46626,1.0
360828,2023-10-08,PARÁ,NOVO PROGRESSO,2.0,0.0,1.0,-6.59339,-55.41667,12.7
1981076,2023-11-12,AMAPÁ,PRACUÚBA,20.0,0.0,1.0,1.5745,-50.6385,76.8
1765966,2023-10-29,MARANHÃO,BURITICUPU,14.0,0.0,1.0,-4.274,-46.4511,103.6
1751672,2023-10-29,MARANHÃO,MARAJÁ DO SENA,13.0,0.0,1.0,-4.65737,-45.66869,1.1
2294071,2023-11-28,MARANHÃO,SANTA LUZIA DO PARUÁ,2.0,0.4,1.0,-2.4948,-45.84493,7.3
894146,2023-09-13,MARANHÃO,GRAJAÚ,117.0,0.0,1.0,-5.4716,-46.16918,1.9
2199159,2023-12-01,MARANHÃO,ITINGA DO MARANHÃO,7.0,0.76,1.0,-4.03087,-46.98333,1.3
2282488,2023-12-04,RORAIMA,PACARAIMA,12.0,0.0,1.0,3.60975,-60.48964,4.4
596041,2023-10-23,PARÁ,DOM ELISEU,7.0,1.92,1.0,-4.1165,-47.9486,91.3
1799493,2023-11-01,MARANHÃO,SANTA LUZIA,16.0,0.0,1.0,-3.90911,-45.86047,24.8
1566062,2023-08-23,MATO GROSSO,JUARA,8.0,0.0,1.0,-10.37941,-57.65063,15.6
1264010,2023-08-06,MATO GROSSO,PARANATINGA,88.0,0.0,1.0,-13.36894,-54.3574,1.3
1693323,2023-10-27,PARÁ,GARRAFÃO DO NORTE,7.0,0.0,1.0,-2.5632,-47.157,79.1
1951695,2023-11-10,AMAPÁ,TARTARUGALZINHO,22.0,0.0,1.0,1.28111,-50.51875,6.7
1771672,2023-10-30,MARANHÃO,SÃO JOÃO DO CARÚ,6.0,0.0,1.0,-3.49542,-46.30409,2.5
1074614,2023-09-21,PARÁ,SÃO JOÃO DO ARAGUAIA,21.0,0.0,1.0,-5.4278,-48.9591,62.3
2118073,2023-11-18,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,8.0,0.0,1.0,-12.8418,-62.6104,89.2
603566,2023-09-01,MARANHÃO,BOM JESUS DAS SELVAS,54.0,0.12,1.0,-4.3663,-46.5571,127.6
2142472,2023-11-19,RONDÔNIA,ALTO ALEGRE DOS PARECIS,7.0,1.13,1.0,-13.0921,-62.1511,142.5
2090403,2023-11-16,PARÁ,NOVO REPARTIMENTO,16.0,0.0,1.0,-4.19413,-50.62812,8.0
1655121,2023-10-25,MARANHÃO,MARACAÇUMÉ,7.0,0.0,1.0,-1.80706,-45.9437,2.9
1708988,2023-10-27,PARÁ,GARRAFÃO DO NORTE,3.0,0.0,1.0,-2.14711,-46.94073,10.7
2350246,2023-07-27,TOCANTINS,XAMBIOÁ,45.0,0.0,1.0,-6.4273,-48.525398,0
1830111,2023-11-02,PARÁ,ALMEIRIM,17.0,0.0,1.0,-1.51222,-52.42308,6.4
1902810,2023-10-26,MARANHÃO,ZÉ DOCA,13.0,0.0,1.0,-3.29062,-46.36861,6.6
2007489,2023-11-13,PARÁ,PARAGOMINAS,6.0,0.0,1.0,-2.59019,-46.85479,16.3
2129652,2023-11-18,PARÁ,ALENQUER,9.0,0.0,1.0,-1.38896,-54.88227,6.6
929983,2023-09-14,PARÁ,CUMARU DO NORTE,7.0,0.0,1.0,-8.83452,-51.64803,5.9
1554497,2023-08-23,AMAZONAS,CAREIRO DA VÁRZEA,3.0,0.92,1.0,-3.4054,-59.4071,94.6
263553,2023-10-03,PARÁ,TUCUMÃ,1.0,0.0,1.0,-6.91143,-51.32,5.8
394686,2023-10-09,PARÁ,ORIXIMINÁ,8.0,0.0,1.0,2.22192,-55.99324,4.7
1778006,2023-10-30,MARANHÃO,VITORINO FREIRE,14.0,0.0,1.0,-4.039,-45.3236,79.0
1427317,2023-08-19,PARÁ,OURILÂNDIA DO NORTE,9.0,0.0,1.0,-7.6931,-51.7255,78.2
1751683,2023-10-29,MARANHÃO,MARAJÁ DO SENA,6.0,0.0,1.0,-4.58031,-45.90463,1.3
1235702,2023-09-30,AMAZONAS,BARCELOS,5.0,0.0,1.0,-0.8278,-63.2472,58.0
2096339,2023-11-17,PARÁ,PACAJÁ,9.0,0.0,1.0,-3.4206,-50.1323,61.0
2179535,2023-11-25,AMAPÁ,TARTARUGALZINHO,37.0,0.0,1.0,1.27972,-50.50349,6.4
467343,2023-10-13,PARÁ,RIO MARIA,0.0,0.0,1.0,-7.24852,-49.77027,4.6
1894154,2023-10-26,MARANHÃO,BOM JARDIM,10.0,0.0,1.0,-4.24544,-46.83303,11.7
1975888,2023-11-12,MARANHÃO,ALTO ALEGRE DO PINDARÉ,11.0,0.0,1.0,-3.72292,-45.76116,1.1
1432054,2023-08-19,PARÁ,PACAJÁ,11.0,0.0,1.0,-3.6018,-50.9009,169.6
1779222,2023-10-30,PARÁ,TAILÂNDIA,6.0,0.05,1.0,-3.13976,-48.8277,18.3
138560,2023-06-27,MARANHÃO,SANTA LUZIA,15.0,0.0,1.0,-4.5194,-45.9043,63.5
1152519,2023-09-26,RONDÔNIA,CEREJEIRAS,3.0,0.0,1.0,-13.2865,-61.654,96.0
1989424,2023-11-12,PARÁ,PORTO DE MOZ,19.0,0.0,1.0,-1.6447,-52.3725,109.3
2353344,2023-07-27,AMAZONAS,APUÍ,12.0,0.0,1.0,-6.91139,-59.47197,19.6
1819029,2023-11-02,MARANHÃO,PAULO RAMOS,17.0,0.0,1.0,-4.59168,-45.65394,1.0
1294267,2023-08-09,PARÁ,ALTAMIRA,27.0,0.0,1.0,-8.5218,-54.8411,109.4
2243796,2023-12-14,RORAIMA,NORMANDIA,18.0,0.0,1.0,3.57131,-60.28601,7.8
1264286,2023-08-06,PARÁ,JACAREACANGA,47.0,0.34,1.0,-9.1794,-56.90749,3.7
675702,2023-09-04,MARANHÃO,BACABAL,23.0,0.0,1.0,-4.15851,-44.77808,2.7
383944,2023-10-09,AMAPÁ,TARTARUGALZINHO,17.0,0.0,1.0,1.4083,-50.8285,96.2
1899897,2023-10-26,PARÁ,PACAJÁ,2.0,0.0,1.0,-3.23457,-51.1822,7.7
2338044,2023-07-29,RONDÔNIA,ITAPUÃ DO OESTE,33.0,0.0,1.0,-9.221,-63.2875,93.0
481953,2023-10-14,PARÁ,ALTAMIRA,0.0,2.16,1.0,-8.31098,-54.95952,2.3
938407,2023-09-14,MARANHÃO,BURITICUPU,12.0,0.0,1.0,-4.2868,-46.377602,0
276689,2023-10-04,RORAIMA,PACARAIMA,9.0,0.0,1.0,3.9682,-60.8436,73.6
151066,2023-07-04,MATO GROSSO,SÃO FÉLIX DO ARAGUAIA,26.0,0.0,1.0,-11.6025,-51.7128,80.3
1824568,2023-11-02,MARANHÃO,TURIAÇU,44.0,0.0,1.0,-1.88999,-45.63294,7.6
2124699,2023-11-18,RONDÔNIA,ALTA FLORESTA D'OESTE,5.0,0.0,1.0,-13.0157,-62.2139,75.1
1302283,2023-08-10,PARÁ,CONCEIÇÃO DO ARAGUAIA,70.0,0.0,1.0,-8.39408,-49.62458,1.2
228506,2023-10-01,PARÁ,ÓBIDOS,8.0,0.0,1.0,1.7853,-55.66959,29.7
2308910,2023-07-31,MARANHÃO,BURITICUPU,35.0,0.0,1.0,-4.30387,-46.44671,9.0
1794108,2023-10-31,PARÁ,PACAJÁ,9.0,0.0,1.0,-3.6052,-50.168,87.8
1052292,2023-09-19,PARÁ,TAILÂNDIA,42.0,0.0,1.0,-3.2415,-48.823,274.8
1276323,2023-08-07,MATO GROSSO,PARANATINGA,88.0,0.0,1.0,-13.41193,-54.35632,3.0
993209,2023-09-16,PARÁ,ANAPU,36.0,0.0,1.0,-3.5802,-51.55837,95.3
476108,2023-10-13,MARANHÃO,BURITICUPU,85.0,0.0,1.0,-4.6227,-46.4664,0
1253718,2023-08-04,MATO GROSSO,MARCELÂNDIA,22.0,0.0,1.0,-10.797,-54.0556,132.9
1445149,2023-08-20,PARÁ,SÃO FÉLIX DO XINGU,10.0,0.0,1.0,-6.7924,-52.6317,65.2
2098502,2023-11-17,MARANHÃO,TURIAÇU,8.0,0.0,1.0,-2.0755,-45.6078,0
2350993,2023-07-27,PARÁ,GOIANÉSIA DO PARÁ,39.0,0.0,1.0,-3.73373,-48.93376,1.6
1167705,2023-09-26,MATO GROSSO,FELIZ NATAL,23.0,0.0,1.0,-12.1184,-54.2398,67.2
2358141,2023-07-27,MARANHÃO,SANTA LUZIA,45.0,0.0,1.0,-4.450634,-45.912346,0
538801,2023-10-19,PARÁ,NOVA ESPERANÇA DO PIRIÁ,8.0,0.0,1.0,-2.83,-47.34,0
205285,2023-07-24,PARÁ,OURILÂNDIA DO NORTE,11.0,0.0,1.0,-6.588838,-51.107769,0
1594946,2023-08-25,MATO GROSSO,NOVA MUTUM,55.0,0.0,1.0,-13.0385,-56.5738,79.7
944445,2023-08-29,MATO GROSSO,NOVA MARINGÁ,12.0,0.38,1.0,-12.9973,-56.8194,90.4
1976129,2023-11-12,PARÁ,ULIANÓPOLIS,5.0,0.0,1.0,-4.091,-47.42236,1.0
32338,2023-03-27,RORAIMA,NORMANDIA,0.0,0.0,1.0,4.12287,-59.94564,14.2
839408,2023-09-10,MARANHÃO,MARANHÃOZINHO,0.0,0.0,1.0,-2.38615,-45.94521,5.2
909654,2023-09-13,PARÁ,CONCEIÇÃO DO ARAGUAIA,11.0,0.0,1.0,-7.92755,-49.71022,16.6
276391,2023-10-04,AMAZONAS,URUCURITUBA,4.0,0.0,1.0,-2.8791,-57.799,63.5
2019397,2023-11-13,MARANHÃO,ZÉ DOCA,5.0,0.0,1.0,-3.3657,-46.0256,319.6
1372271,2023-08-16,PARÁ,SANTANA DO ARAGUAIA,90.0,0.0,1.0,-9.75251,-50.75092,3.9
1324722,2023-08-12,MATO GROSSO,FELIZ NATAL,54.0,0.0,1.0,-12.08158,-54.26724,8.6
224787,2023-10-01,PARÁ,ÓBIDOS,8.0,0.0,1.0,1.8768,-55.6832,63.0
1161990,2023-09-26,PARÁ,ULIANÓPOLIS,27.0,0.0,1.0,-3.6188,-47.3825,65.8
1448049,2023-08-20,MATO GROSSO,NOVA SANTA HELENA,6.0,0.0,1.0,-11.18148,-54.85972,1.9
1720274,2023-10-27,MARANHÃO,SATUBINHA,10.0,0.0,1.0,-4.0953,-45.2531,66.8
1223736,2023-09-30,AMAPÁ,MAZAGÃO,7.0,0.0,1.0,-0.84719,-51.95303,1.3
1399239,2023-08-18,MATO GROSSO,NOVA MARINGÁ,17.0,0.0,1.0,-12.91736,-56.93541,26.1
913266,2023-09-13,MARANHÃO,ARAME,97.0,0.0,1.0,-4.9664,-45.9013,71.4
370031,2023-10-08,AMAZONAS,MAUÉS,8.0,0.0,1.0,-3.41495,-57.99307,4.9
2190194,2023-11-27,MARANHÃO,SANTA HELENA,4.0,1.66,1.0,-2.5505,-45.5856,69.3
1857629,2023-11-04,PARÁ,ANAPU,12.0,0.0,1.0,-3.23617,-51.35994,1.9
33030,2023-03-28,RORAIMA,NORMANDIA,2.0,0.0,1.0,4.1585,-59.95186,5.4
2068491,2023-11-15,MARANHÃO,SÃO JOÃO BATISTA,6.0,0.31,1.0,-2.91027,-44.81285,6.1
1487236,2023-08-21,PARÁ,RIO MARIA,82.0,0.0,1.0,-7.28283,-49.83918,3.2
1961743,2023-11-10,MARANHÃO,SÃO JOÃO DO CARÚ,3.0,0.4,1.0,-3.4573,-46.2886,36.6
674356,2023-08-31,PARÁ,DOM ELISEU,18.0,0.0,1.0,-4.28088,-48.06152,1.0
2042955,2023-11-14,PARÁ,SÃO FÉLIX DO XINGU,6.0,0.0,1.0,-6.27505,-52.34819,3.8
320524,2023-10-06,PARÁ,ORIXIMINÁ,13.0,0.0,1.0,1.62811,-55.95149,5.0
491184,2023-10-14,MARANHÃO,SANTA LUZIA,7.0,0.0,1.0,-3.8317,-45.7824,87.4
1063845,2023-09-20,PARÁ,CUMARU DO NORTE,3.0,0.0,1.0,-7.9462,-50.6386,915.3
221815,2023-10-01,PARÁ,RONDON DO PARÁ,16.0,0.0,1.0,-4.24878,-48.54741,2.8
152787,2023-07-05,MARANHÃO,BOM JESUS DAS SELVAS,28.0,0.0,1.0,-4.81771,-46.77998,59.2
2180555,2023-11-25,PARÁ,CACHOEIRA DO PIRIÁ,3.0,0.0,1.0,-2.03688,-46.5689,2.9
2202379,2023-12-01,RORAIMA,UIRAMUTÃ,5.0,0.0,1.0,4.46508,-60.3404,3.4
1057778,2023-09-20,MATO GROSSO,PORTO ALEGRE DO NORTE,2.0,0.0,1.0,-10.8649,-51.6421,74.0
1141424,2023-09-25,RONDÔNIA,PIMENTEIRAS DO OESTE,3.0,0.0,1.0,-13.15497,-61.75979,40.6
424449,2023-10-10,RORAIMA,PACARAIMA,11.0,0.0,1.0,4.19203,-60.70357,3.9
1296055,2023-08-09,PARÁ,ALTAMIRA,27.0,0.0,1.0,-8.5605,-54.6771,128.8
2006557,2023-11-13,AMAPÁ,CALÇOENE,8.0,0.0,1.0,3.4162,-51.1568,61.2
1758178,2023-10-29,MARANHÃO,CENTRO DO GUILHERME,5.0,0.0,1.0,-2.34536,-46.07602,64.2
1278864,2023-08-07,MATO GROSSO,NOVA MARINGÁ,43.0,0.0,1.0,-12.96564,-56.80197,3.7
911419,2023-09-13,PARÁ,NOVO PROGRESSO,4.0,0.0,1.0,-8.62125,-55.2553,5.9
1811220,2023-11-01,PARÁ,TAILÂNDIA,9.0,0.0,1.0,-3.168,-48.697,409.4
1423785,2023-08-19,PARÁ,ITAITUBA,9.0,0.0,1.0,-7.06007,-56.47372,1.1
2166486,2023-11-20,PARÁ,ÓBIDOS,10.0,0.0,1.0,2.19213,-55.90593,7.7
2311719,2023-07-31,MATO GROSSO,FELIZ NATAL,45.0,0.0,1.0,-12.10168,-54.28471,4.0
2108884,2023-11-17,PARÁ,SENADOR JOSÉ PORFÍRIO,10.0,0.0,1.0,-2.92211,-51.77339,6.7
1216046,2023-09-29,MARANHÃO,BOM JARDIM,74.0,0.0,1.0,-3.5888,-45.9941,306.6
2181332,2023-11-25,PARÁ,CAPITÃO POÇO,2.0,0.0,1.0,-1.72493,-47.08921,275.2
1926859,2023-11-06,AMAPÁ,MACAPÁ,18.0,0.0,1.0,1.06427,-50.06257,8.8
257700,2023-10-03,MARANHÃO,AÇAILÂNDIA,63.0,0.0,1.0,-4.59325,-47.17605,2.3
